State,Start,End,Run time
sSTG_FEED_MV_OM-1,2018/03/06 02:06:28,2018/03/06 03:45:03,1:38:35
sSTG_FEED_PL_SV_L_OM,2018/03/06 02:06:28,2018/03/06 04:10:19,2:3:51
sSTG_FEED_SV_L_YEST-1,2018/03/06 02:06:28,2018/03/06 04:08:33,2:2:5
sSTG_FEED_XG_ALL,2018/03/06 02:06:28,2018/03/06 04:11:31,2:5:3
sSTG_FEED_XG_MAIN,2018/03/06 02:06:28,2018/03/06 04:08:40,2:2:12
sSTG_FEED_VAR,2018/03/06 02:06:28,2018/03/06 04:45:36,2:39:8
sSTG_FEED_VAR_STRESS_TEST,2018/03/06 02:06:28,2018/03/06 04:43:52,2:37:24
sSTG_FEED_TAYLOR,2018/03/06 02:06:28,2018/03/06 05:11:17,3:4:49
sSTG_FEED_VAR_PART1,2018/03/06 02:06:28,2018/03/06 04:43:52,2:37:24
sSTG_FEED_VAR_PART2,2018/03/06 02:06:28,2018/03/06 04:17:24,2:10:56
sSTG_FEED_VAR_PART3,2018/03/06 02:06:28,2018/03/06 04:14:55,2:8:27
sSTG_FEED_VAR_PART4,2018/03/06 02:06:28,2018/03/06 04:19:50,2:13:22
sSTG_FEED_VAR_PART5,2018/03/06 02:06:28,2018/03/06 03:53:29,1:47:1
sSTG_FEED_VAR_PART6,2018/03/06 02:06:28,2018/03/06 03:47:32,1:41:4
sSTG_FEED_VAR_PART7,2018/03/06 02:06:28,2018/03/06 03:53:18,1:46:50
sSTG_FEED_VAR_PART8,2018/03/06 02:06:28,2018/03/06 04:30:40,2:24:12
sSTG_FEED_MISC_INDEX_2B,2018/03/06 02:57:27,2018/03/06 03:03:34,0:6:7
sSTG_FEED_COM_RISK_SPEC_INDEX_ALL,2018/03/06 03:02:10,2018/03/06 03:02:10,0:0:0
sSTG_FEED_MISC_INDEX,2018/03/06 03:11:41,2018/03/06 03:11:50,0:0:9
sSTG_FEED_SV_CS1_INDEX_ALL,2018/03/06 03:39:19,2018/03/06 03:39:19,0:0:0
sSTG_FEED_PL_INDEX_ALL,2018/03/06 03:44:07,2018/03/06 03:44:27,0:0:20
sSTG_FEED_MV_INDEX_ALL,2018/03/06 03:45:03,2018/03/06 03:45:28,0:0:25
sSTG_FEED_DT_02,2018/03/06 03:49:03,2018/03/06 03:53:42,0:4:39
sSTG_FEED_IRD_RISK_SPEC_INDEX_ALL,2018/03/06 03:49:57,2018/03/06 03:49:58,0:0:1
sSTG_FEED_DT_INDEX_ALL,2018/03/06 03:53:42,2018/03/06 03:54:17,0:0:35
sSTG_FEED_CS_INDEX_ALL,2018/03/06 03:59:12,2018/03/06 04:02:16,0:3:4
sSTG_FEED_SV_INDEX_ALL,2018/03/06 04:08:33,2018/03/06 04:09:06,0:0:33
sSTG_FEED_XG_INDEX_ALL,2018/03/06 04:08:40,2018/03/06 04:08:50,0:0:10
sSTG_FEED_MIFID,2018/03/06 04:08:50,2018/03/06 04:11:19,0:2:29
sSTG_FEED_PL_SV_INDEX_ALL,2018/03/06 04:10:19,2018/03/06 04:10:29,0:0:10
sSTG_FEED_FX_RISK_SPEC_INDEX_ALL,2018/03/06 04:11:02,2018/03/06 04:11:03,0:0:1
sSTG_FEED_UPD_MIFID,2018/03/06 04:11:19,2018/03/06 04:11:30,0:0:11
sSTG_FEED_VAR_DATAMART,2018/03/06 04:43:52,2018/03/06 04:45:33,0:1:41
sSTG_FEED_VAR_INDEX,2018/03/06 04:45:33,2018/03/06 04:45:36,0:0:3
sLAUNCH_MASTER_LAUNCHER,2018/03/06 05:11:17,2018/03/06 05:11:17,0:0:0
sSTG_FEED_PARSER_FUNCTION,2018/03/06 05:11:17,2018/03/06 05:27:59,0:16:42
sSTG_FEED_CVPRC,2018/03/06 05:11:17,2018/03/06 05:15:28,0:4:11
sSTG_FEED_CVSPT,2018/03/06 05:11:17,2018/03/06 05:12:42,0:1:25
sSTG_FEED_DTSEC,2018/03/06 05:11:17,2018/03/06 05:27:59,0:16:42
sSTG_FEED_RTNBD,2018/03/06 05:11:17,2018/03/06 05:12:40,0:1:23
sSTG_VALIDATE_INTEGRITY,2018/03/06 05:27:59,2018/03/06 05:28:05,0:0:6
sODS_TRUNCATE,2018/03/06 05:28:05,2018/03/06 05:28:08,0:0:3
sODS_DROP_INDEX,2018/03/06 05:28:08,2018/03/06 05:28:09,0:0:1
sODS_FEED_ALL,2018/03/06 05:28:09,2018/03/06 06:26:25,0:58:16
sODS_FEED_COMRISK_SPEC,2018/03/06 05:28:09,2018/03/06 05:30:35,0:2:26
sODS_FEED_CRDRISK_SPEC,2018/03/06 05:28:09,2018/03/06 05:28:40,0:0:31
sODS_FEED_CS,2018/03/06 05:28:09,2018/03/06 06:26:25,0:58:16
sODS_FEED_CS_FUT_L,2018/03/06 05:28:09,2018/03/06 05:29:07,0:0:58
sODS_FEED_CS_EVAL,2018/03/06 05:28:09,2018/03/06 05:29:47,0:1:38
sODS_FEED_DT,2018/03/06 05:28:09,2018/03/06 05:59:38,0:31:29
sODS_FEED_DT_SV,2018/03/06 05:28:09,2018/03/06 05:43:35,0:15:26
sODS_FEED_FXRISK_SPEC,2018/03/06 05:28:09,2018/03/06 05:30:11,0:2:2
sODS_FEED_IRDRISK,2018/03/06 05:28:09,2018/03/06 05:30:40,0:2:31
sODS_FEED_IRDRISK_SPEC,2018/03/06 05:28:09,2018/03/06 05:32:05,0:3:56
sODS_FEED_MV_DETAIL,2018/03/06 05:28:09,2018/03/06 05:55:35,0:27:26
sODS_FEED_PL,2018/03/06 05:28:09,2018/03/06 05:42:58,0:14:49
sODS_FEED_PL_HS,2018/03/06 05:28:09,2018/03/06 05:31:39,0:3:30
sODS_FEED_PL_SV,2018/03/06 05:28:09,2018/03/06 05:32:10,0:4:1
sODS_FEED_SV,2018/03/06 05:28:09,2018/03/06 05:37:50,0:9:41
sODS_FEED_VAR_COM,2018/03/06 05:28:09,2018/03/06 05:31:00,0:2:51
sODS_FEED_VAR_SCN,2018/03/06 05:28:09,2018/03/06 05:29:54,0:1:45
sODS_FEED_XG,2018/03/06 05:28:09,2018/03/06 05:34:25,0:6:16
sODS_FEED_TAYLOR_COM,2018/03/06 05:28:09,2018/03/06 05:35:29,0:7:20
sODS_FEED_TAYLOR_CRD,2018/03/06 05:28:09,2018/03/06 05:44:35,0:16:26
sODS_FEED_TAYLOR_CURR,2018/03/06 05:28:09,2018/03/06 05:45:56,0:17:47
sODS_FEED_TAYLOR_IRD,2018/03/06 05:28:09,2018/03/06 05:40:46,0:12:37
sODS_SQL,2018/03/06 06:26:25,2018/03/06 06:49:38,0:23:13
sODS_SQL_UPDATE,2018/03/06 06:26:25,2018/03/06 06:39:26,0:13:1
sODS_UPD_CS,2018/03/06 06:26:25,2018/03/06 06:26:26,0:0:1
sUPDATE_STATISTICS,2018/03/06 06:26:25,2018/03/06 06:49:38,0:23:13
sODS_UPD_CS_FUT,2018/03/06 06:26:25,2018/03/06 06:26:26,0:0:1
sODS_UPD_DT,2018/03/06 06:26:25,2018/03/06 06:39:00,0:12:35
sODS_UPD_DT_SV,2018/03/06 06:26:25,2018/03/06 06:26:26,0:0:1
sODS_UPD_MV,2018/03/06 06:26:25,2018/03/06 06:39:26,0:13:1
sODS_UPD_PL,2018/03/06 06:26:25,2018/03/06 06:38:55,0:12:30
sODS_UPD_PL_SV,2018/03/06 06:26:25,2018/03/06 06:39:01,0:12:36
sODS_UPD_SV,2018/03/06 06:26:26,2018/03/06 06:30:07,0:3:41
sODS_UPD_XG,2018/03/06 06:26:26,2018/03/06 06:26:41,0:0:15
sODS_VALIDATE_INTEGRITY,2018/03/06 06:49:38,2018/03/06 06:49:45,0:0:7
sWORKFLOW_RESET,2018/03/06 06:49:45,2018/03/06 06:49:46,0:0:1
sBACKUP,2018/03/06 06:49:46,2018/03/06 06:49:46,0:0:0
sMARKER_END,2018/03/06 06:49:46,2018/03/06 06:50:07,0:0:21
sEMAIL_END,2018/03/06 06:50:07,2018/03/06 06:50:07,0:0:0
State,Start,End,Run time
sEOD_LIVE,2018/03/07 00:45:40,2018/03/07 05:47:30,5:1:50
sEMAIL_START,2018/03/07 00:45:40,2018/03/07 00:45:40,0:0:0
sMARKER_START,2018/03/07 00:45:40,2018/03/07 00:46:01,0:0:21
sCHECK_DATE,2018/03/07 00:46:01,2018/03/07 00:46:03,0:0:2
sDATE_INIT,2018/03/07 00:46:03,2018/03/07 00:49:35,0:3:32
sSTG_WAIT_COMPTA_PLCOMP,2018/03/07 00:49:35,2018/03/07 01:06:35,0:17:0
sSTG_TRUNCATE,2018/03/07 01:06:35,2018/03/07 01:06:37,0:0:2
sSTG_DROP_INDEX,2018/03/07 01:06:37,2018/03/07 01:06:38,0:0:1
sSTG_FEED_MAIN,2018/03/07 01:06:38,2018/03/07 04:10:10,3:3:32
sSTG_FEED_MISC_ALL,2018/03/07 01:06:38,2018/03/07 02:11:01,1:4:23
sSTG_FEED_MISC_MAIN,2018/03/07 01:06:38,2018/03/07 02:11:01,1:4:23
sSTG_FEED_COM_RISK_SPEC_ALL,2018/03/07 01:06:38,2018/03/07 02:00:45,0:54:7
sSTG_FEED_MISC,2018/03/07 01:06:38,2018/03/07 02:10:52,1:4:14
sSTG_FEED_COM_RISK_SPEC_MAIN,2018/03/07 01:06:38,2018/03/07 02:00:44,0:54:6
sSTG_FEED_CS_ALL,2018/03/07 01:06:38,2018/03/07 03:05:41,1:59:3
sSTG_FEED_MISC_MAIN2,2018/03/07 01:06:38,2018/03/07 02:02:54,0:56:16
sSTG_FEED_MISC_2A,2018/03/07 01:06:38,2018/03/07 01:57:49,0:51:11
sSTG_FEED_CS_MAIN,2018/03/07 01:06:38,2018/03/07 03:02:38,1:56:0
sSTG_FEED_DT_ALL,2018/03/07 01:06:38,2018/03/07 03:00:48,1:54:10
sSTG_FEED_CS_OM,2018/03/07 01:06:38,2018/03/07 03:02:38,1:56:0
sSTG_FEED_DT_MAIN,2018/03/07 01:06:38,2018/03/07 03:00:06,1:53:28
sSTG_FEED_DT_01,2018/03/07 01:06:38,2018/03/07 02:55:28,1:48:50
sSTG_FEED_FX_RISK_SPEC_ALL,2018/03/07 01:06:38,2018/03/07 03:02:41,1:56:3
sSTG_FEED_CS_TODAY,2018/03/07 01:06:38,2018/03/07 02:44:03,1:37:25
sSTG_FEED_FX_RISK_SPEC_MAIN,2018/03/07 01:06:38,2018/03/07 03:02:40,1:56:2
sSTG_FEED_IRD_RISK_SPEC_ALL,2018/03/07 01:06:38,2018/03/07 02:53:28,1:46:50
sSTG_FEED_CS_OTHER,2018/03/07 01:06:38,2018/03/07 02:41:46,1:35:8
sSTG_FEED_IRD_RISK_SPEC_MAIN,2018/03/07 01:06:38,2018/03/07 02:53:28,1:46:50
sSTG_FEED_PL_ALL,2018/03/07 01:06:38,2018/03/07 02:45:54,1:39:16
